"id","name","birthdate","deathdate"
4766,"Leland Orser","1960-08-06T00:00:00.000",null
4767,"Leleti Khumalo","1970-03-30T00:00:00.000",null
4768,"Lemmy","1945-12-24T00:00:00.000","2015-12-28T00:00:00.000"
4769,"Len Cariou","1939-09-30T00:00:00.000",null
4770,"Len Wiseman","1973-03-04T00:00:00.000",null
4771,"Lena Dunham","1986-05-13T00:00:00.000",null
4772,"Lena Endre","1955-07-08T00:00:00.000",null
4773,"Lena Horne","1917-06-30T00:00:00.000","2010-05-09T00:00:00.000"
4774,"Lena Olin","1955-03-22T00:00:00.000",null
4775,"Lenny Abrahamson","1966-11-30T00:00:00.000",null
4776,"Lenny Venito",null,null
4777,"Lenore Zann","1959-11-22T00:00:00.000",null
4778,"Leo Fitzpatrick","1978-08-10T00:00:00.000",null
4779,"Leo G. Carroll","1886-10-25T00:00:00.000","1972-10-16T00:00:00.000"
4780,"Leo Howard",null,null
4781,"Leo McKern","1920-03-16T00:00:00.000","2002-07-23T00:00:00.000"
4782,"Leo Rossi","1946-06-26T00:00:00.000",null
4783,"Leon","1962-03-08T00:00:00.000",null
4784,"Leon Ford",null,null
4785,"Leon Ichaso","1948-08-03T00:00:00.000",null
4786,"Leon Isaac Kennedy","1949-01-01T00:00:00.000",null
4787,"Leon Rippy","1949-10-30T00:00:00.000",null
4788,"Léon Schwartzenberg",null,null
4789,"Leonard Farlinger",null,null
4790,"Leonard Nimoy","1931-03-26T00:00:00.000","2015-02-27T00:00:00.000"
4791,"Leonard Roberts","1969-02-28T00:00:00.000",null
4792,"Leonardo DiCaprio","1974-11-11T00:00:00.000",null
4793,"Leonid Yarmolnik","1954-01-22T00:00:00.000",null
4794,"Leonie Benesch","1991-04-22T00:00:00.000",null
4795,"Leonor Varela","1972-12-29T00:00:00.000",null
4796,"Leonor Watling","1975-07-28T00:00:00.000",null
4797,"Leopold Stokowski","1882-04-18T00:00:00.000","1977-09-13T00:00:00.000"
4798,"Leos Carax","1960-11-22T00:00:00.000",null
4799,"Les Mayfield",null,null
4800,"Lesley Ann Warren","1946-08-16T00:00:00.000",null
4801,"Lesley Manville","1956-03-12T00:00:00.000",null
4802,"Lesley Sharp","1960-04-03T00:00:00.000",null
4803,"Lesley-Anne Down","1954-03-17T00:00:00.000",null
4804,"Leslie Bibb","1974-11-17T00:00:00.000",null
4805,"Leslie Carlson","1933-02-24T00:00:00.000","2014-05-03T00:00:00.000"
4806,"Leslie Caron","1931-07-01T00:00:00.000",null
4807,"Leslie H. Martinson","1915-01-16T00:00:00.000","2016-09-03T00:00:00.000"
4808,"Leslie Hope","1965-05-06T00:00:00.000",null
4809,"Leslie Jordan","1955-04-29T00:00:00.000",null
4810,"Leslie Small",null,null
4811,"Leslye Headland","1980-11-26T00:00:00.000",null
4812,"Lester Speight","1963-01-07T00:00:00.000",null
4813,"Leticia Brédice","1972-08-26T00:00:00.000",null
4814,"Levan Gabriadze","1969-11-16T00:00:00.000",null
4815,"LeVar Burton","1957-02-16T00:00:00.000",null
4816,"Leven Rambin","1990-05-17T00:00:00.000",null
4817,"Levon Helm","1940-05-26T00:00:00.000","2012-04-19T00:00:00.000"
4818,"Lew Temple","1967-10-02T00:00:00.000",null
4819,"Lewis Gilbert","1934-06-06T00:00:00.000","2011-10-31T00:00:00.000"
4820,"Lex Barker",null,null
4821,"Lex Shrapnel","1979-10-06T00:00:00.000",null
4822,"Lexa Doig","1973-06-08T00:00:00.000",null
4823,"Lexi Alexander","1974-08-23T00:00:00.000",null
4824,"Lexie Contursi","1989-09-18T00:00:00.000",null
4825,"Lhakpa Dorji",null,null
4826,"Li Gong","1965-12-31T00:00:00.000",null
4827,"Li Jun Li",null,null
4828,"Li Zhang",null,null
4829,"Lia Tucker",null,null
4830,"Liam Aiken","1990-01-07T00:00:00.000",null
4831,"Liam James","1950-09-21T00:00:00.000",null
4832,"Liam Neeson","1952-06-07T00:00:00.000",null
4833,"Liane Balaban","1980-06-24T00:00:00.000",null
4834,"Libby Villari",null,null
4835,"Lijun Sun",null,null
4836,"Lil' Wayne","1982-09-27T00:00:00.000",null
4837,"Lila Kedrova","1918-10-09T00:00:00.000","2000-02-16T00:00:00.000"
4838,"Lili Taylor","1967-02-20T00:00:00.000",null
4839,"Liliana Cavani","1933-01-12T00:00:00.000",null
4840,"Lillete Dubey","1954-05-13T00:00:00.000",null
4841,"Lilli Lavine",null,null
4842,"Lillian Adams","1922-05-13T00:00:00.000","2011-05-25T00:00:00.000"
4843,"Lillian Gish","1893-10-14T00:00:00.000","1993-02-27T00:00:00.000"
4844,"Lillo Brancato","1976-03-30T00:00:00.000",null
4845,"Lily Atkinson",null,null
4846,"Lily Cole","1987-12-27T00:00:00.000",null
4847,"Lily James","1989-04-05T00:00:00.000",null
4848,"Lily Rabe","1982-06-29T00:00:00.000",null
4849,"Lily Tomlin","1939-09-01T00:00:00.000",null
4850,"Lin Shaye","1943-10-12T00:00:00.000",null
4851,"Lina Esco","1985-05-14T00:00:00.000",null
4852,"Lincoln Hoppe","1971-06-05T00:00:00.000",null
4853,"Linda Blair","1959-01-22T00:00:00.000",null
4854,"Linda Cardellini","1975-06-25T00:00:00.000",null
4855,"Linda Fiorentino","1958-03-09T00:00:00.000",null
4856,"Linda Harrison","1945-07-26T00:00:00.000",null
4857,"Linda Kozlowski","1958-01-07T00:00:00.000",null
4858,"Linda Lovelace","1949-01-10T00:00:00.000","2002-04-22T00:00:00.000"
4859,"Linda Mendoza",null,null
4860,"Linden Ashby","1960-05-23T00:00:00.000",null
4861,"Lindsay Duncan","1950-11-07T00:00:00.000",null
4862,"Lindsay Felton","1984-12-04T00:00:00.000",null
4863,"Lindsay Kay Hayward","1987-07-28T00:00:00.000",null
4864,"Lindsay MacDonald","1997-09-22T00:00:00.000",null
4865,"Lindsay Price","1976-12-06T00:00:00.000",null
4866,"Lindsay Sloane","1977-08-08T00:00:00.000",null
4867,"Lindsay Wagner","1949-06-22T00:00:00.000",null
4868,"Lindsey Haun","1984-11-21T00:00:00.000",null
4869,"Lindy Booth","1979-04-02T00:00:00.000",null
4870,"Linnea Quigley","1958-05-27T00:00:00.000",null
4871,"Lino Facioli","2000-07-29T00:00:00.000",null
4872,"Linus Roache","1964-02-01T00:00:00.000",null
4873,"Lionel Abelanski","1964-10-22T00:00:00.000",null
4874,"Lionel Barrymore","1878-04-28T00:00:00.000","1954-11-15T00:00:00.000"
4875,"Lionel C. Martin",null,null
4876,"Lior Ashkenazi",null,null
4877,"Lisa Ann","1972-05-09T00:00:00.000",null
4878,"Lisa Ann Walter","1963-08-03T00:00:00.000",null
4879,"Lisa Arnold",null,null
4880,"Lisa Azuelos","1965-11-06T00:00:00.000",null
4881,"Lisa Bonet","1967-11-16T00:00:00.000",null
4882,"Lisa Brave",null,null
4883,"Lisa Cholodenko","1964-06-05T00:00:00.000",null
4884,"Lisa Edelstein","1966-05-21T00:00:00.000",null
4885,"Lisa Gaye","1964-03-25T00:00:00.000",null
4886,"Lisa Kay","1971-02-11T00:00:00.000",null
4887,"Lisa Ortiz","1974-12-11T00:00:00.000",null
4888,"Lisa Pelikan","1954-07-12T00:00:00.000",null
4889,"Lisa Ray","1972-04-04T00:00:00.000",null
4890,"Lisa Wilcox","1964-04-27T00:00:00.000",null
4891,"LisaGay Hamilton","1964-03-25T00:00:00.000",null
4892,"Lisanne Pajot",null,null
4893,"LisaRaye McCoy","1966-09-23T00:00:00.000",null
4894,"Liv Ullmann","1938-12-16T00:00:00.000",null
4895,"Livingston Oden",null,null
4896,"Livvy Stubenrauch",null,null
4897,"Liya Kebede","1978-03-01T00:00:00.000",null
4898,"Liz Friedlander",null,null
4899,"Liz Mullane",null,null
4900,"Liza Lapira",null,null
4901,"Liza Minnelli","1946-03-12T00:00:00.000",null
4902,"Lizzie Brocheré","1985-03-22T00:00:00.000",null
4903,"Ljubomir Kerekes","1960-01-16T00:00:00.000",null
4904,"LL Cool J","1968-01-14T00:00:00.000",null
4905,"Lloyd Avery II","1969-06-21T00:00:00.000","2005-09-04T00:00:00.000"
4906,"Lloyd Bacon","1889-12-04T00:00:00.000","1955-11-15T00:00:00.000"
4907,"Lloyd Bridges","1913-01-15T00:00:00.000","1998-03-10T00:00:00.000"
4908,"Lloyd Kaufman","1945-12-30T00:00:00.000",null
4909,"Lluís Quílez","1978-12-08T00:00:00.000",null
4910,"Loanne Bishop","1955-11-10T00:00:00.000",null
4911,"Lobo Sebastian",null,null
4912,"Lochlyn Munro","1966-02-12T00:00:00.000",null
4913,"Logan Browning","1989-06-09T00:00:00.000",null
4914,"Logan Lerman","1992-01-19T00:00:00.000",null
4915,"Lois Chiles","1947-04-15T00:00:00.000",null
4916,"Lois Maxwell","1927-02-14T00:00:00.000","2007-09-29T00:00:00.000"
4917,"Lois Smith","1930-11-03T00:00:00.000",null
4918,"Lola Dueñas","1971-10-06T00:00:00.000",null
4919,"Lola Glaudini","1971-11-24T00:00:00.000",null
4920,"Lolita Davidovich","1961-07-15T00:00:00.000",null
4921,"Lon Chaney Jr.","1906-02-10T00:00:00.000","1973-07-12T00:00:00.000"
4922,"Lone Scherfig","1959-05-02T00:00:00.000",null
4923,"Long Nguyen",null,null
4924,"Lorelei Linklater","1994-05-29T00:00:00.000",null
4925,"Lorene Scafaria",null,null
4926,"Loretta Devine","1949-08-21T00:00:00.000",null
4927,"Lori Petty","1963-10-14T00:00:00.000",null
4928,"Lori Silverbush",null,null
4929,"Lori Singer","1957-11-06T00:00:00.000",null
4930,"Lorna Raver","1943-10-09T00:00:00.000",null
4931,"Lorne Cardinal",null,null
4932,"Lorraine Bracco","1954-10-02T00:00:00.000",null
4933,"Lorraine Stanley","1976-06-28T00:00:00.000",null
4934,"Lorraine Toussaint","1960-04-04T00:00:00.000",null
4935,"Lorraine Ziff",null,null
4936,"Lotte Verbeek","1982-06-24T00:00:00.000",null
4937,"Lou Adler","1933-12-13T00:00:00.000",null
4938,"Lou Perryman","1941-08-15T00:00:00.000","2009-04-01T00:00:00.000"
4939,"Lou Romano","1972-04-15T00:00:00.000",null
4940,"Lou Saliba",null,null
4941,"Lou Taylor Pucci","1985-07-27T00:00:00.000",null
4942,"Louis C.K.","1967-09-12T00:00:00.000",null
4943,"Louis Ferreira","1966-02-20T00:00:00.000",null
4944,"Louis Herthum","1956-07-05T00:00:00.000",null
4945,"Louis Jourdan","1921-06-19T00:00:00.000","2015-02-14T00:00:00.000"
4946,"Louis Koo","1970-10-21T00:00:00.000",null
4947,"Louis Leterrier","1973-06-17T00:00:00.000",null
4948,"Louis Lombardi",null,null
4949,"Louis Mandylor","1966-09-13T00:00:00.000",null
4950,"Louis Morneau",null,null
4951,"Louis Mustillo","1958-05-28T00:00:00.000",null
4952,"Louis Ozawa Changchien",null,null
4953,"Louis Walsh","1952-08-05T00:00:00.000",null
4954,"Louisa Milwood-Haigh",null,null
4955,"Louise Beavers","1902-03-08T00:00:00.000","1962-10-26T00:00:00.000"
4956,"Louise Bourgoin","1981-11-28T00:00:00.000",null
4957,"Louise Brealey","1979-03-27T00:00:00.000",null
4958,"Louise Brooks","1946-10-23T00:00:00.000","2012-09-02T00:00:00.000"
4959,"Louise Fletcher","1934-07-22T00:00:00.000",null
4960,"Louise Lasser","1939-04-11T00:00:00.000",null
4961,"Louise Sorel","1940-08-06T00:00:00.000",null
4962,"Lowell Sherman","1888-10-11T00:00:00.000","1934-12-28T00:00:00.000"
4963,"Lubna Azabal",null,null
4964,"Luc Besson","1959-03-18T00:00:00.000",null
4965,"Luc Jacquet","1967-12-05T00:00:00.000",null
4966,"Luca Guadagnino",null,null
4967,"Lucas Bryant","1978-09-28T00:00:00.000",null
4968,"Lucas Grabeel","1984-11-23T00:00:00.000",null
4969,"Lucile Hadzihalilovic","1961-05-07T00:00:00.000",null
4970,"Lucille Ball","1911-08-06T00:00:00.000","1989-04-26T00:00:00.000"
4971,"Lucille La Verne","1872-11-07T00:00:00.000","1945-03-04T00:00:00.000"
4972,"Lucio Fulci","1927-06-17T00:00:00.000","1996-03-13T00:00:00.000"
4973,"Lucky McKee","1975-11-01T00:00:00.000",null
4974,"Lucrecia Martel","1966-12-14T00:00:00.000",null
4975,"Lucy","1911-08-06T00:00:00.000","1989-04-26T00:00:00.000"
4976,"Lucy Boynton",null,null
4977,"Lucy Fry",null,null
4978,"Lucy Gaskell","1980-07-10T00:00:00.000",null
4979,"Lucy Gordon","1980-05-22T00:00:00.000","2009-05-20T00:00:00.000"
4980,"Ludger Pistor","1959-03-16T00:00:00.000",null
4981,"Ludivine Sagnier","1979-07-03T00:00:00.000",null
4982,"Luenell","1959-03-12T00:00:00.000",null
4983,"Luigi Pistilli","1929-07-19T00:00:00.000","1996-04-21T00:00:00.000"
4984,"Luis Antonio","1961-02-25T00:00:00.000",null
4985,"Luis E. Carazo",null,null
4986,"Luis Llosa",null,null
4987,"Luis Mandoki",null,null
4988,"Luis Miranda","1969-12-15T00:00:00.000",null
4989,"Luis Rosado",null,null
4990,"Luis Sanchez","1934-02-02T00:00:00.000",null
4991,"Luis Tosar","1971-10-13T00:00:00.000",null
4992,"Luis Valdez","1940-06-26T00:00:00.000",null
4993,"Luisa D'Oliveira","1986-10-06T00:00:00.000",null
4994,"Luisa Ranieri","1973-12-16T00:00:00.000",null
4995,"Lukas Haas","1976-04-16T00:00:00.000",null
4996,"Lukas Moodysson","1969-01-17T00:00:00.000",null
4997,"Luke Benward","1995-05-12T00:00:00.000",null
4998,"Luke Bracey",null,null
4999,"Luke Dye",null,null
5000,"Luke Edwards","1980-03-24T00:00:00.000",null
5001,"Luke Ford","1981-03-26T00:00:00.000",null
5002,"Luke Greenfield","1972-02-05T00:00:00.000",null
5003,"Luke Grimes","1984-01-21T00:00:00.000",null
5004,"Luke Kirby","1978-06-21T00:00:00.000",null
5005,"Luke Mably","1976-03-01T00:00:00.000",null
5006,"Luke Newberry","1990-02-19T00:00:00.000",null
5007,"Luke Perry","1966-10-11T00:00:00.000",null
5008,"Luke Treadaway","1984-09-10T00:00:00.000",null
5009,"Lumi Cavazos","1968-12-21T00:00:00.000",null
5010,"Lunetta Savino","1957-11-02T00:00:00.000",null
5011,"Lupe Ontiveros","1942-09-17T00:00:00.000","2012-07-26T00:00:00.000"
5012,"Lusia Strus",null,null
5013,"Lydia Hearst","1984-09-19T00:00:00.000",null
5014,"Lydia Wilson",null,null
5015,"Lymari Nadal","1978-02-11T00:00:00.000",null
5016,"Lynda Boyd","1965-01-28T00:00:00.000",null
5017,"Lynn Cohen","1933-08-10T00:00:00.000",null
5018,"Lynn Hung","1983-04-10T00:00:00.000",null
5019,"Lynn Redgrave","1943-03-08T00:00:00.000","2010-05-02T00:00:00.000"
5020,"Lynn Shelton",null,null
5021,"Lynn Whitfield","1953-05-06T00:00:00.000",null
5022,"Lynne Ramsay","1969-12-05T00:00:00.000",null
5023,"Lynne Thigpen","1948-12-22T00:00:00.000","2003-03-12T00:00:00.000"
5024,"Lysette Anthony","1963-09-26T00:00:00.000",null
5025,"Lyubov Agapova",null,null
5026,"M. Emmet Walsh","1935-03-22T00:00:00.000",null
5027,"M. Night Shyamalan","1970-08-06T00:00:00.000",null
5028,"M.C. Gainey","1948-01-18T00:00:00.000",null
5029,"Mabel Cheung","1950-11-17T00:00:00.000",null
5030,"Mabrouk El Mechri",null,null
5031,"Mac McDonald","1949-06-18T00:00:00.000",null
5032,"Macaulay Culkin","1980-08-26T00:00:00.000",null
5033,"Macha Méril",null,null
5034,"Mackenzie Aladjem",null,null
5035,"Mackenzie Crook","1971-09-29T00:00:00.000",null
5036,"Mackenzie Davis","1987-04-01T00:00:00.000",null
5037,"Mackenzie Foy","2000-11-10T00:00:00.000",null
5038,"Mackenzie Gray","1957-11-22T00:00:00.000",null
5039,"Mackenzie Phillips","1959-11-10T00:00:00.000",null
5040,"Madeleine Albright","1937-05-15T00:00:00.000",null
5041,"Madeline Carroll","1996-03-18T00:00:00.000",null
5042,"Madeline Kahn","1942-09-29T00:00:00.000","1999-12-03T00:00:00.000"
5043,"Madhavan","1970-06-01T00:00:00.000",null
5044,"Madhuri Dixit","1967-05-15T00:00:00.000",null
5045,"Madison Davenport","1996-11-22T00:00:00.000",null
5046,"Madison Lintz",null,null
5047,"Madison McKinley",null,null
5048,"Madison Pettis","1998-07-22T00:00:00.000",null
5049,"Madison Rothschild",null,null
5050,"Mae Marsh","1894-11-09T00:00:00.000","1968-02-13T00:00:00.000"
5051,"Mae West","1893-08-17T00:00:00.000","1980-11-22T00:00:00.000"
5052,"Maeve Dermody","1985-11-02T00:00:00.000",null
5053,"Magda Apanowicz","1985-11-08T00:00:00.000",null
5054,"Magda Szubanski","1961-04-12T00:00:00.000",null
5055,"Maggie Carey",null,null
5056,"Maggie Cheung","1964-09-20T00:00:00.000",null
5057,"Maggie Greenwald","1955-06-23T00:00:00.000",null
5058,"Maggie Siff","1974-06-21T00:00:00.000",null
5059,"Maggie Wheeler","1961-08-07T00:00:00.000",null
5060,"Magi Avila",null,null
5061,"Mahadeo Shivraj",null,null
5062,"Mai Charoenpura","1969-01-05T00:00:00.000",null
5063,"Maia Morgenstern","1962-05-01T00:00:00.000",null
5064,"Maika Monroe","1993-05-29T00:00:00.000",null
5065,"Maile Flanagan","1965-05-19T00:00:00.000",null
5066,"Maïwenn","1976-04-17T00:00:00.000",null
5067,"Majid Majidi",null,null
5068,"Mako","1936-10-25T00:00:00.000",null
5069,"Maksim Fadeev","1968-05-06T00:00:00.000",null
5070,"Malcolm D. Lee","1970-01-11T00:00:00.000",null
5071,"Malcolm Goodwin",null,null
5072,"Malese Jow","1991-02-18T00:00:00.000",null
5073,"Malik Yoba","1967-09-17T00:00:00.000",null
5074,"Malika",null,null
5075,"Malone Thomas",null,null
5076,"Malonn Lévana",null,null
5077,"Mamoru Hosoda","1967-09-19T00:00:00.000",null
5078,"Man Li","1953-01-14T00:00:00.000",null
5079,"Mandy Gonzalez",null,null
5080,"Mani Bharathi",null,null
5081,"Manish Dayal","1983-06-17T00:00:00.000",null
5082,"Manny Perez","1969-05-05T00:00:00.000",null
5083,"Manoj Bajpayee","1969-04-23T00:00:00.000",null
5084,"Måns Mårlind","1969-07-29T00:00:00.000",null
5085,"Manuela Velasco","1975-10-23T00:00:00.000",null
5086,"Mara Wilson",null,null
5087,"Marama Corlett",null,null
5088,"Marc Abraham",null,null
5089,"Marc Anthony","1975-11-03T00:00:00.000",null
5090,"Marc Bennett",null,null
5091,"Marc Blucas","1972-01-11T00:00:00.000",null
5092,"Marc Donato","1989-01-25T00:00:00.000",null
5093,"Marc F. Adler",null,null
5094,"Marc Forby","1970-06-02T00:00:00.000",null
5095,"Marc Forster","1969-11-30T00:00:00.000",null
5096,"Marc John Jefferies","1990-05-16T00:00:00.000",null
5097,"Marc Lawrence","1917-07-19T00:00:00.000","2001-08-28T00:00:00.000"
5098,"Marc Levin",null,null
5099,"Marc Macaulay","1957-10-13T00:00:00.000",null
5100,"Marc Schölermann","1971-10-14T00:00:00.000",null
5101,"Marc Singer",null,null
5102,"Marc Trottier","1976-05-22T00:00:00.000",null
5103,"Marc Webb","1974-08-31T00:00:00.000",null
5104,"Marcel Iures","1951-08-02T00:00:00.000",null
5105,"Marcela Mar","1983-07-05T00:00:00.000",null
5106,"Marcell Nagy",null,null
5107,"Marcella Lentz-Pope",null,null
5108,"Marcello Mastroianni","1924-09-28T00:00:00.000","1996-12-19T00:00:00.000"
5109,"Marcia DeBonis","1960-06-04T00:00:00.000",null
5110,"Marcia Wallace","1942-11-01T00:00:00.000","2013-10-25T00:00:00.000"
5111,"Marcio Garcia","1970-04-17T00:00:00.000",null
5112,"Marco Hofschneider","1969-10-18T00:00:00.000",null
5113,"Marco Kreuzpaintner","1977-03-11T00:00:00.000",null
5114,"Marco Schnabel",null,null
5115,"Marco St. John","1939-05-07T00:00:00.000",null
5116,"Marco Treviño",null,null
5117,"Marcos Siega","1969-06-08T00:00:00.000",null
5118,"Marcus Chong","1967-07-08T00:00:00.000",null
5119,"Marcus Dunstan",null,null
5120,"Marcus Lyle Brown","1970-12-26T00:00:00.000",null
5121,"Marcus Nispel","1963-05-26T00:00:00.000",null
5122,"Marcus Raboy","1965-11-30T00:00:00.000",null
5123,"Mare Winningham","1959-05-16T00:00:00.000",null
5124,"Marg Helgenberger","1958-11-16T00:00:00.000",null
5125,"Margaret Cho","1968-12-05T00:00:00.000",null
5126,"Margaret Hamilton","1902-12-09T00:00:00.000","1985-05-16T00:00:00.000"
5127,"Margaret Tracey",null,null
5128,"Margarita Levieva","1980-02-09T00:00:00.000",null
5129,"Margo Harshman","1986-03-04T00:00:00.000",null
5130,"Margot Kidder","1948-10-17T00:00:00.000",null
5131,"Mari Koda","1986-08-03T00:00:00.000",null
5132,"María Alche","1983-04-23T00:00:00.000",null
5133,"María Aura",null,null
5134,"María Botto","1974-02-10T00:00:00.000",null
5135,"Maria Canals-Barrera","1966-09-28T00:00:00.000",null
5136,"Maria Conchita Alonso","1957-06-29T00:00:00.000",null
5137,"Maria Dizzia","1974-12-29T00:00:00.000",null
5138,"Maria Doyle Kennedy","1964-09-25T00:00:00.000",null
5139,"Maria Grazia Cucinotta","1968-07-27T00:00:00.000",null
5140,"Maria Maggenti",null,null
5141,"Maria Schrader","1965-09-27T00:00:00.000",null
5142,"Maria Thayer","1975-10-30T00:00:00.000",null
5143,"María Valverde","1987-03-24T00:00:00.000",null
5144,"Mariah Carey","1970-03-27T00:00:00.000",null
5145,"Marian Dziedziel","1947-08-05T00:00:00.000",null
5146,"Marian Marsh","1913-10-17T00:00:00.000","2006-11-09T00:00:00.000"
5147,"Marian Seldes","1928-08-23T00:00:00.000","2014-10-06T00:00:00.000"
5148,"Marianna Palka","1981-09-07T00:00:00.000",null
5149,"Marianne Denicourt","1966-05-14T00:00:00.000",null
5150,"Maribel Verdú","1970-10-02T00:00:00.000",null
5151,"Maricel Álvarez",null,null
5152,"Marie Avgeropoulos","1986-06-17T00:00:00.000",null
5153,"Marie Féret","1945-05-26T00:00:00.000","2015-04-28T00:00:00.000"
5154,"Marie Gillain","1975-06-18T00:00:00.000",null
5155,"Marie Pillet","1941-07-20T00:00:00.000","2009-02-13T00:00:00.000"
5156,"Marie-Anne Chazel","1951-09-19T00:00:00.000",null
5157,"Marie-Josée Croze","1970-02-23T00:00:00.000",null
5158,"Mariel Hemingway","1961-11-22T00:00:00.000",null
5159,"Marielle Heller","1979-10-01T00:00:00.000",null
5160,"Mariette Monpierre",null,null
5161,"Marilyn Agrelo",null,null
5162,"Marilyn Burns","1949-05-07T00:00:00.000","2014-08-05T00:00:00.000"
5163,"Marilyn Manson","1969-01-05T00:00:00.000",null
5164,"Marilyn Norry",null,null
5165,"Marilyn Rising",null,null
5166,"Marin Hinkle","1966-03-23T00:00:00.000",null
5167,"Marina Golbahari",null,null
5168,"Marina Hands","1975-01-10T00:00:00.000",null
5169,"Marina Sirtis","1955-03-29T00:00:00.000",null
5170,"Marina Vlady","1938-05-10T00:00:00.000",null
5171,"Mario Cimarro","1971-06-01T00:00:00.000",null
5172,"Mario Lopez","1973-10-10T00:00:00.000",null
5173,"Mario Monicelli","1915-05-15T00:00:00.000","2010-11-29T00:00:00.000"
5174,"Mario Van Peebles","1957-01-15T00:00:00.000",null
5175,"Marion Ross","1928-10-25T00:00:00.000",null
5176,"Marisa Coughlan","1974-03-17T00:00:00.000",null
5177,"Marisa Saks","1982-05-23T00:00:00.000",null
5178,"Marisol Nichols","1973-11-02T00:00:00.000",null
5179,"Marius A. Markevicius","1976-09-03T00:00:00.000",null
5180,"Mark A.Z. Dippé",null,null
5181,"Mark Addy","1964-01-14T00:00:00.000",null
5182,"Mark Andrews","1968-09-12T00:00:00.000",null
5183,"Mark Bazeley","1970-09-30T00:00:00.000",null
5184,"Mark Brown",null,null
5185,"Mark Camacho","1964-04-12T00:00:00.000",null
5186,"Mark Caven","1960-04-23T00:00:00.000",null
5187,"Mark Chinnery",null,null
5188,"Mark Christopher","1963-07-08T00:00:00.000",null
5189,"Mark Christopher Lawrence","1964-05-22T00:00:00.000",null
5190,"Mark De Alessandro",null,null
5191,"Mark Dindal",null,null
5192,"Mark Duplass","1976-12-07T00:00:00.000",null
5193,"Mark Fantasia",null,null
5194,"Mark Feuerstein","1971-06-08T00:00:00.000",null
5195,"Mark Gatiss","1966-10-17T00:00:00.000",null
5196,"Mark Helfrich",null,null
5197,"Mark Hengst","1964-03-07T00:00:00.000",null
5198,"Mark Herman",null,null
5199,"Mark Illsley","1958-06-04T00:00:00.000",null
5200,"Mark L. Lester","1946-11-26T00:00:00.000",null
5201,"Mark L. Young",null,null
5202,"Mark Margolis","1939-11-26T00:00:00.000",null
5203,"Mark Moses","1958-02-24T00:00:00.000",null
5204,"Mark Mylod",null,null
5205,"Mark Neveldine","1973-05-11T00:00:00.000",null
5206,"Mark Osborne","1970-09-17T00:00:00.000",null
5207,"Mark Pellington","1962-03-17T00:00:00.000",null
5208,"Mark Piznarski",null,null
5209,"Mark Rendall","1988-10-21T00:00:00.000",null
5210,"Mark Rolston","1956-12-07T00:00:00.000",null
5211,"Mark Romanek","1959-09-18T00:00:00.000",null
5212,"Mark Rosman",null,null
5213,"Mark Rydell","1929-03-23T00:00:00.000",null
5214,"Mark Rylance","1960-01-18T00:00:00.000",null
5215,"Mark Sandrich","1901-10-26T00:00:00.000","1945-03-04T00:00:00.000"
5216,"Mark Steven Johnson","1964-10-30T00:00:00.000",null
5217,"Mark Tarlov",null,null
5218,"Mark Tonderai",null,null
5219,"Mark Torgl",null,null
5220,"Mark Valley","1964-12-24T00:00:00.000",null
5221,"Mark Walters","1950-02-22T00:00:00.000",null
5222,"Mark Waters","1960-01-18T00:00:00.000",null
5223,"Mark Webber","1980-07-19T00:00:00.000",null
5224,"Mark Williams",null,null
5225,"Mark Wingett","1961-01-01T00:00:00.000",null
5226,"Mark Young",null,null
5227,"Mark Zupan","1975-05-20T00:00:00.000",null
5228,"Markéta Irglová","1988-02-28T00:00:00.000",null
5229,"Marko Zaror","1978-06-10T00:00:00.000",null
5230,"Marla Gibbs","1931-06-14T00:00:00.000",null
5231,"Marla Sokoloff","1980-12-19T00:00:00.000",null
5232,"Marlee Matlin","1965-08-24T00:00:00.000",null
5233,"Marlene Forte",null,null
5234,"Marley Shelton","1974-04-12T00:00:00.000",null
5235,"Marlon Brando","1924-04-03T00:00:00.000","2004-07-01T00:00:00.000"
5236,"Marques Houston","1981-08-04T00:00:00.000",null
5237,"Marri Savinar",null,null
5238,"Mars Callahan",null,null
5239,"Marsha Thomason","1976-01-19T00:00:00.000",null
5240,"Marshal Hilton",null,null
5241,"Marshall Allman","1984-04-05T00:00:00.000",null
5242,"Marshall Bell","1942-09-28T00:00:00.000",null
5243,"Marta Etura","1978-10-28T00:00:00.000",null
5244,"Martha Coolidge","1946-08-17T00:00:00.000",null
5245,"Martha MacIsaac","1984-10-11T00:00:00.000",null
5246,"Martijn Lakemeier","1993-09-17T00:00:00.000",null
5247,"Martin Balsam","1919-11-04T00:00:00.000","1996-02-13T00:00:00.000"
5248,"Martin Brest","1951-08-08T00:00:00.000",null
5249,"Martin Campbell","1968-10-13T00:00:00.000",null
5250,"Martin Clunes","1961-11-28T00:00:00.000",null
5251,"Martin Compston","1984-05-08T00:00:00.000",null
5252,"Martin Dew","1968-01-18T00:00:00.000",null
5253,"Martin Donovan","1957-08-19T00:00:00.000",null
5254,"Martin Hancock",null,null
5255,"Martin Henderson","1974-10-08T00:00:00.000",null
5256,"Martin Koolhoven","1969-04-25T00:00:00.000",null
5257,"Martin Kove","1946-03-06T00:00:00.000",null
5258,"Martin Landau","1928-06-20T00:00:00.000",null
5259,"Martin Lawrence","1965-04-16T00:00:00.000",null
5260,"Martin Lucey",null,null
